saniye,x,y
4.383333333333323,1423,427
4.39999999999999,1436,427
4.416666666666656,1441,427
4.433333333333323,1452,429
4.4499999999999895,1465,437
4.466666666666656,1472,441
4.483333333333323,1485,453
4.499999999999989,1489,463
4.516666666666656,1490,465
4.533333333333323,1491,474
4.549999999999989,1491,484
4.566666666666656,1491,492
4.583333333333322,1491,503
4.599999999999989,1485,512
4.616666666666656,1479,519
4.633333333333322,1468,528
4.649999999999989,1460,532
4.666666666666655,1453,535
4.683333333333322,1446,537
4.699999999999989,1442,537
4.716666666666655,1429,537
4.733333333333322,1417,537
4.7499999999999885,1413,536
4.766666666666655,1403,530
4.783333333333322,1397,523
4.799999999999988,1390,516
4.816666666666655,1387,510
4.8333333333333215,1384,502
4.849999999999988,1383,496
4.866666666666655,1383,486
4.883333333333321,1383,479
4.899999999999988,1383,473
4.9166666666666545,1384,470
4.933333333333321,1385,466
4.949999999999988,1395,457
4.966666666666654,1397,454
4.983333333333321,1400,452
4.999999999999988,1406,450
5.016666666666654,1415,447
5.033333333333321,1426,446
5.049999999999987,1432,446
5.066666666666654,1439,446
5.083333333333321,1445,446
5.099999999999987,1451,446
5.116666666666654,1455,448
5.13333333333332,1465,454
5.149999999999987,1470,458
5.166666666666654,1473,467
5.18333333333332,1477,474
5.199999999999987,1479,489
5.2166666666666535,1479,492
5.23333333333332,1479,501
5.249999999999987,1479,502
5.266666666666653,1479,505
5.28333333333332,1478,512
5.2999999999999865,1478,516
5.316666666666653,1478,519
5.33333333333332,1478,523
5.349999999999986,1478,529
5.366666666666653,1478,535
5.3833333333333195,1478,541
5.399999999999986,1479,547
5.416666666666653,1485,553
5.433333333333319,1489,559
5.449999999999986,1493,566
5.466666666666653,1497,568
5.483333333333319,1505,574
5.499999999999986,1510,576
5.516666666666652,1518,580
5.533333333333319,1530,583
5.549999999999986,1548,586
5.566666666666652,1556,587
5.583333333333319,1561,587
5.599999999999985,1576,587
5.616666666666652,1590,586
5.633333333333319,1594,583
5.649999999999985,1605,580
5.666666666666652,1621,574
5.6833333333333185,1632,567
5.699999999999985,1645,559
5.716666666666652,1646,556
5.733333333333318,1652,548
5.749999999999985,1654,546
5.7666666666666515,1658,538
5.783333333333318,1664,529
5.799999999999985,1670,519
5.816666666666651,1673,512
5.833333333333318,1674,506
5.8499999999999845,1674,499
5.866666666666651,1674,493
5.883333333333318,1674,490
5.899999999999984,1667,480
5.916666666666651,1658,478
5.933333333333318,1647,473
5.949999999999984,1635,471
5.966666666666651,1627,470
5.983333333333317,1613,470
5.999999999999984,1607,470
6.016666666666651,1599,470
6.033333333333317,1592,474
6.049999999999984,1589,474
6.06666666666665,1574,489
6.083333333333317,1565,496
6.099999999999984,1558,504
6.11666666666665,1554,514
6.133333333333317,1547,523
6.1499999999999835,1543,531
6.16666666666665,1543,535
6.183333333333317,1543,543
6.199999999999983,1543,546
6.21666666666665,1549,559
6.2333333333333165,1557,566
6.249999999999983,1569,572
6.26666666666665,1580,576
6.283333333333316,1586,577
6.299999999999983,1601,581
6.3166666666666496,1609,582
6.333333333333316,1616,582
6.349999999999983,1625,582
6.366666666666649,1631,582
6.383333333333316,1637,582
6.399999999999983,1646,576
6.416666666666649,1648,570
6.433333333333316,1652,564
6.449999999999982,1654,560
6.466666666666649,1654,553
6.483333333333316,1654,544
6.499999999999982,1654,535
6.516666666666649,1654,531
6.5333333333333155,1651,522
6.549999999999982,1648,515
6.566666666666649,1645,510
6.583333333333315,1639,501
6.599999999999982,1637,496
6.6166666666666485,1626,487
6.633333333333315,1620,485
6.649999999999982,1609,482
6.666666666666648,1602,482
6.683333333333315,1593,482
6.6999999999999815,1586,482
6.716666666666648,1579,482
6.733333333333315,1573,482
6.749999999999981,1564,490
